地名,地区,燃やすごみ,金属製小型ごみ・危険なもの,紙類・衣類,びん・缶・ペットボトル
猪名寺3丁目,地区8,水 土,木2,火,金
猪名寺1・2丁目,地区9,水 土,金4,木,月
稲葉元町,地区15,月 木,金2,水,火
稲葉荘（国道2号に面した家庭は除く）,地区16,月 木,火4,金,水
今福,地区21,水 土,金3,月,火
稲葉荘の国道2号に面した家庭,地区23,月 木,金2,火,水
大庄北（国道2号に面した家庭は除く）,地区15,月 木,金2,水,火
尾浜町,地区17,火 金,水3,月,木
大西町,地区19,火 金,月3,木,水
大島,地区23,月 木,金2,火,水
大庄北の国道2号に面した家庭,地区23,月 木,金2,火,水
大庄西町,地区23,月 木,金2,火,水
大庄中通1〜4丁目,地区23,月 木,金2,火,水
大庄川田町,地区23,月 木,金2,火,水
大浜町,地区23,月 木,金2,火,水
大庄中通5丁目,地区24,月 木,金3,火,水
上ノ島町,地区7,火 金,水2,月,木
瓦宮1丁目,地区9,水 土,金4,木,月
上坂部,地区12,水 土,月4,金,木
瓦宮2丁目,地区12,水 土,月4,金,木
神崎町,地区20,水 土,木2,火,金
神田北通,地区25,火 金,木2,月,水
神田中通,地区25,火 金,木2,月,水
神田南通,地区25,火 金,木2,月,水
開明町,地区25,火 金,木2,月,水
梶ヶ島,地区26,火 金,木4,月,水
